tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt2539182,Code Name 348: Onna keiji sashiba,Code Name 348: Onna keiji sashiba,1990,80,['Crime']
tt0433264,Een wolk van groen,Een wolk van groen,1990,87,['Documentary']
tt0432459,Young Shim,Yeongshimi,1990,100,"['Drama', 'Romance']"
tt0432116,Supermarket,Supermarket,1990,104,"['Comedy', 'Crime', 'Drama']"
tt0431682,"Chernaya magiya, ili svidanie s dyavolom","Chernaya magiya, ili svidanie s dyavolom",1990,99,['Drama']
tt0109966,Gypsy Angels,Gypsy Angels,1990,92,['Drama']
tt0430806,La última fuga,La última fuga,1990,91,['Action']
tt0429248,The Wonderbeats: Kings of Beat,The Wonderbeats: Kings of Beat,1990,85,['Comedy']
tt0427820,Die Schmerzen der Lausitz,Die Schmerzen der Lausitz,1990,58,['Documentary']
tt0427807,Saebyeokeul gaeuriroda,Saebyeokeul gaeuriroda,1990,110,['Drama']
tt0427336,Hasan Boguldu,Hasan Boguldu,1990,89,"['Drama', 'Romance']"
tt0427237,Fazilet,Fazilet,1990,87,['Drama']
tt0426026,Hong Du-gae,Hong Du-gae,1990,103,"['Drama', 'Thriller']"
tt0426004,Ggumguneun shikmo,Ggumguneun shikmo,1990,102,['Drama']
tt0425856,Chunhwa chunpung,Chunhwa chunpung,1990,100,['Drama']
tt0425525,The Dove on the Roof,Die Taube auf dem Dach,1990,90,['Drama']
tt0425360,Porog,Porog,1990,89,['Documentary']
tt0424924,Czarodziej z Harlemu,Czarodziej z Harlemu,1990,76,"['Comedy', 'Romance']"
tt2837334,Chi lang jie,Chi lang jie,1990,78,"['Action', 'Thriller']"
tt0424057,Dryan,Dryan,1990,92,['Drama']
tt0422946,Petrang kabayo 2: Anong ganda mo! Mukha kang kabayo,Petrang kabayo 2: Anong ganda mo! Mukha kang kabayo,1990,113,"['Comedy', 'Fantasy']"
tt0110126,In the Eye of the Snake,In the Eye of the Snake,1990,91,['Thriller']
tt0422151,Dyesebel,Dyesebel,1990,101,"['Drama', 'Fantasy', 'Romance']"
tt0420759,Man and Elephant,Man and Elephant,1990,45,['Documentary']
tt0420706,Kaafila,Kaafila,1990,121,"['Drama', 'Thriller']"
tt0420172,Sfinks,Sfinks,1990,104,['Drama']
tt0434174,Man from China,Man from China,1990,45,['Drama']
tt0109912,A Gnome Named Gnorm,A Gnome Named Gnorm,1990,84,"['Action', 'Adventure', 'Comedy']"
tt0435396,Small White House,Small White House,1990,90,"['Drama', 'Romance']"
